hotel;meal;market_segment;lead_time;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;is_repeated_guest;previous_cancellations;previous_bookings_not_canceled;booking_changes;days_in_waiting_list;total_of_special_requests;adr;is_canceled
Resort Hotel;BB;Online TA;14;0;2;2;0;0;0;0;0;0;0;1;98;0
Resort Hotel;BB;Online TA;10;0;2;2;0;0;0;0;0;0;0;0;117.81;0
Resort Hotel;BB;Online TA;5;0;2;2;0;0;0;0;0;0;0;2;135;0
Resort Hotel;BB;Direct;17;0;3;2;0;0;0;0;0;0;0;1;133;0
Resort Hotel;BB;Offline TA/TO;93;0;3;2;0;0;0;0;0;0;0;0;58.95;0
Resort Hotel;HB;Online TA;3;0;3;2;0;0;0;0;0;0;0;2;136.33;1
Resort Hotel;BB;Online TA;10;0;2;2;2;0;0;0;0;0;0;0;153;0
Resort Hotel;BB;Online TA;3;0;2;2;0;0;0;0;0;0;0;0;110.5;0
Resort Hotel;BB;Online TA;51;0;2;2;0;0;0;0;0;0;0;0;97;0
Resort Hotel;BB;Offline TA/TO;71;0;2;3;0;0;0;0;0;0;0;2;110.3;1
Resort Hotel;BB;Online TA;63;0;2;2;0;0;0;0;0;0;0;2;82;1
Resort Hotel;BB;Online TA;62;0;2;2;0;0;0;0;0;0;0;1;97;1
Resort Hotel;BB;Online TA;101;0;2;2;0;0;0;0;0;0;0;1;73.8;1
Resort Hotel;HB;Offline TA/TO;2;0;2;2;0;0;0;0;0;0;0;0;91.5;0
Resort Hotel;BB;Online TA;15;0;2;2;0;0;0;0;0;0;0;0;114.5;0
Resort Hotel;BB;Online TA;51;0;2;3;0;0;0;0;0;0;0;0;110.3;1
Resort Hotel;BB;Online TA;3;1;2;2;0;0;0;0;0;0;0;0;90.9;0
Resort Hotel;BB;Online TA;48;1;2;2;0;0;0;0;0;0;0;0;123;1
Resort Hotel;BB;Online TA;2;2;2;1;0;0;0;0;0;0;0;0;122;0
Resort Hotel;BB;Offline TA/TO;72;2;2;2;0;0;0;0;0;0;0;0;110.7;0
Resort Hotel;BB;Offline TA/TO;81;2;6;3;0;0;0;0;0;0;0;0;85.86;0
Resort Hotel;BB;Offline TA/TO;99;2;7;2;0;0;0;0;0;0;0;0;58.95;0
Resort Hotel;BB;Offline TA/TO;368;3;7;2;0;0;0;0;0;0;0;0;55.68;1
Resort Hotel;BB;Offline TA/TO;364;3;7;2;0;0;0;0;0;0;0;0;55.68;0
Resort Hotel;HB;Direct;81;3;7;2;0;0;0;0;0;2;0;1;124;1
Resort Hotel;HB;Offline TA/TO;99;3;7;2;0;0;0;0;0;0;0;0;111.15;0
Resort Hotel;HB;Offline TA/TO;324;4;10;2;0;0;0;0;0;0;0;0;134.73;0
Resort Hotel;BB;Online TA;69;4;10;2;0;0;0;0;0;1;0;1;92.45;0
Resort Hotel;BB;Offline TA/TO;79;6;15;2;1;0;0;0;0;0;0;2;108.73;1
Resort Hotel;BB;Online TA;12;0;1;2;0;0;0;0;0;0;0;0;73.8;0
Resort Hotel;BB;Online TA;9;0;1;2;0;0;0;0;0;0;0;2;98;0
Resort Hotel;BB;Online TA;1;0;1;2;0;0;0;0;0;0;0;1;131;0
Resort Hotel;BB;Online TA;21;0;1;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;BB;Online TA;9;0;1;2;0;0;0;0;0;0;0;0;94.71;0
Resort Hotel;BB;Online TA;109;0;1;2;0;0;0;0;0;0;0;2;123;0
Resort Hotel;BB;Online TA;109;0;2;2;0;0;0;0;0;0;0;1;123;1
Resort Hotel;BB;Online TA;72;0;2;2;0;0;0;0;0;0;0;1;73.8;1
Resort Hotel;BB;Online TA;63;2;5;2;0;0;0;0;0;0;0;1;117;1
Resort Hotel;HB;Offline TA/TO;63;2;5;3;0;0;0;0;0;0;0;1;196.54;0
Resort Hotel;BB;Online TA;101;2;5;2;1;0;0;0;0;0;0;2;99.3;0
Resort Hotel;BB;Direct;102;2;5;2;0;0;0;0;0;0;0;0;90.95;0
Resort Hotel;BB;Direct;4;2;1;2;0;0;0;0;0;0;0;1;92.67;0
Resort Hotel;BB;Offline TA/TO;98;2;1;2;0;0;0;0;0;0;0;0;71.55;0
Resort Hotel;BB;Offline TA/TO;92;2;4;1;2;0;0;0;0;0;0;2;96.49;0
Resort Hotel;BB;Online TA;95;2;4;2;0;0;0;0;0;0;0;2;85.8;0
Resort Hotel;BB;Online TA;102;2;5;2;0;0;0;0;0;0;0;1;96.3;0
Resort Hotel;BB;Online TA;26;2;5;2;2;0;0;0;0;0;0;0;163;1
Resort Hotel;HB;Direct;73;2;5;3;0;0;0;0;0;0;0;1;172;1
Resort Hotel;BB;Online TA;102;2;5;2;0;0;0;0;0;0;0;1;110.7;1
Resort Hotel;BB;Offline TA/TO;115;2;5;2;0;0;0;0;0;0;0;1;58.95;0
Resort Hotel;BB;Online TA;102;2;5;2;0;1;0;0;0;0;0;2;73.8;0
Resort Hotel;BB;Online TA;86;2;5;2;0;0;0;0;0;0;0;2;97;0
Resort Hotel;HB;Online TA;78;2;5;2;0;1;0;0;0;0;0;2;139;0
Resort Hotel;BB;Online TA;52;2;5;2;0;0;0;0;0;0;0;0;67.24;0
Resort Hotel;BB;Online TA;29;2;6;3;0;0;0;0;0;0;0;1;116.5;0
Resort Hotel;BB;Online TA;101;2;6;2;0;0;0;0;0;0;0;1;96.3;1
Resort Hotel;BB;Online TA;109;2;6;2;0;0;0;0;0;0;0;1;123;0
Resort Hotel;BB;Offline TA/TO;92;4;6;2;0;0;0;0;0;0;0;1;71.55;0
Resort Hotel;BB;Offline TA/TO;92;4;6;2;0;0;0;0;0;0;0;1;71.55;0
Resort Hotel;HB;Direct;79;4;6;2;1;0;0;0;0;1;0;1;149;0
Resort Hotel;BB;Online TA;2;0;1;2;2;0;0;0;0;1;0;0;163;0
Resort Hotel;BB;Offline TA/TO;30;0;1;2;0;0;0;0;0;0;0;0;79.5;0
Resort Hotel;HB;Online TA;51;0;1;1;0;0;0;0;0;0;0;0;105;1
Resort Hotel;BB;Direct;36;0;1;1;0;0;0;0;0;1;0;0;123;1
Resort Hotel;BB;Online TA;73;0;1;2;0;0;0;0;0;0;0;2;73.8;1
Resort Hotel;BB;Online TA;33;0;1;2;0;0;0;0;0;0;0;0;113;1
Resort Hotel;FB;Complementary;32;0;1;4;0;0;0;0;0;2;0;1;0;0
Resort Hotel;BB;Online TA;8;0;1;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;BB;Online TA;100;1;1;2;0;0;0;0;0;0;0;1;73.8;0
Resort Hotel;BB;Online TA;1;1;1;2;0;0;0;0;0;0;0;0;114.5;0
Resort Hotel;BB;Online TA;100;1;1;2;0;0;0;0;0;0;0;2;73.8;0
Resort Hotel;BB;Online TA;100;1;1;2;0;0;0;0;0;0;0;1;73.8;0
Resort Hotel;BB;Online TA;9;1;0;2;0;0;0;0;0;0;0;1;88.2;0
Resort Hotel;BB;Online TA;5;1;0;2;0;0;0;0;0;0;0;0;97;1
Resort Hotel;BB;Online TA;0;1;0;2;0;0;0;0;0;1;0;0;85.1;0
Resort Hotel;BB;Online TA;9;1;0;1;0;0;0;0;0;0;0;0;89;0
Resort Hotel;BB;Online TA;2;1;0;1;0;0;0;0;0;0;0;0;80.1;0
Resort Hotel;BB;Online TA;2;1;0;2;0;0;0;0;0;0;0;0;98;0
Resort Hotel;BB;Online TA;9;1;0;1;0;0;0;0;0;0;0;0;101;0
Resort Hotel;BB;Online TA;5;1;0;2;0;0;0;0;0;0;0;0;97;1
Resort Hotel;BB;Direct;2;1;0;2;0;0;0;0;0;0;0;1;167;0
Resort Hotel;HB;Online TA;44;2;0;3;0;0;0;0;0;3;0;0;225;0
Resort Hotel;BB;Online TA;80;2;0;2;0;0;0;0;0;0;0;0;97;0
Resort Hotel;BB;Online TA;97;2;2;2;0;0;0;0;0;0;0;2;87.3;0
Resort Hotel;BB;Offline TA/TO;109;2;3;2;1;0;0;0;0;0;0;2;85.59;0
Resort Hotel;BB;Online TA;30;2;3;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;BB;Online TA;64;2;3;2;0;0;0;0;0;0;0;0;107;0
Resort Hotel;BB;Online TA;39;2;4;2;0;0;0;0;0;0;0;0;163;0
Resort Hotel;BB;Online TA;90;2;4;2;0;0;0;0;0;0;0;0;82;0
Resort Hotel;BB;Online TA;34;2;4;2;2;0;0;0;0;0;0;0;163;1
Resort Hotel;HB;Offline TA/TO;93;2;5;2;0;0;0;0;0;0;0;0;105.5;1
Resort Hotel;HB;Direct;97;2;5;2;2;0;0;0;0;1;0;1;164.2;0
Resort Hotel;BB;Online TA;29;2;5;2;0;0;0;0;0;0;0;1;97.29;0
Resort Hotel;HB;Online TA;101;2;5;2;0;0;0;0;0;0;0;1;114;1
Resort Hotel;BB;Offline TA/TO;27;2;5;2;0;0;0;0;0;0;0;0;98.4;0
Resort Hotel;BB;Online TA;8;4;5;2;2;0;0;0;0;1;0;1;175;0
Resort Hotel;BB;Offline TA/TO;82;4;6;2;0;0;0;0;0;0;0;2;63.6;0
Resort Hotel;BB;Direct;94;4;6;3;0;0;0;0;0;3;0;1;124.45;0
Resort Hotel;BB;Offline TA/TO;110;4;7;2;0;0;0;0;0;0;0;0;110.7;0
Resort Hotel;HB;Offline TA/TO;96;4;10;1;0;0;0;0;0;0;0;0;74.07;0
Resort Hotel;HB;Offline TA/TO;79;4;10;2;0;0;0;0;0;0;0;0;134.1;0
Resort Hotel;BB;Online TA;115;1;4;2;2;0;0;0;0;1;0;0;167;0
Resort Hotel;BB;Online TA;111;1;3;2;0;0;0;0;0;0;0;2;123;0
Resort Hotel;BB;Online TA;51;1;3;2;0;0;0;0;0;0;0;2;117.81;0
Resort Hotel;BB;Offline TA/TO;94;1;3;3;0;0;0;0;0;0;0;1;171.32;0
Resort Hotel;HB;Direct;81;1;3;2;2;0;0;0;0;0;0;0;210;0
Resort Hotel;BB;Online TA;84;1;3;2;0;1;0;0;0;1;0;2;97;0
Resort Hotel;BB;Online TA;51;1;3;3;0;0;0;0;0;0;0;2;117.81;0
Resort Hotel;BB;Online TA;111;0;0;2;0;0;0;0;0;0;0;2;0;0
Resort Hotel;BB;Direct;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Resort Hotel;BB;Direct;2;1;0;2;1;0;0;0;0;0;0;0;131;0
Resort Hotel;BB;Online TA;7;1;1;2;0;0;0;0;0;0;0;2;98;0
Resort Hotel;BB;Online TA;98;1;1;2;0;0;0;0;0;0;0;1;87.3;0
Resort Hotel;BB;Online TA;95;1;2;2;0;0;0;0;0;0;0;1;97;0
Resort Hotel;HB;Online TA;48;1;3;2;0;0;0;0;0;0;0;0;167;1
Resort Hotel;HB;Offline TA/TO;66;1;3;2;0;0;0;0;0;0;0;0;91.5;0
Resort Hotel;BB;Online TA;104;1;3;2;0;0;0;0;0;1;0;1;73.8;0
Resort Hotel;BB;Online TA;28;1;4;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;HB;Direct;34;1;4;2;0;0;0;0;0;0;0;0;175;0
Resort Hotel;HB;Online TA;98;1;5;2;0;0;0;0;0;0;0;1;117.8;0
Resort Hotel;BB;Online TA;104;1;5;2;0;0;0;0;0;1;0;0;117.63;0
Resort Hotel;HB;Online TA;68;2;5;2;2;0;0;0;0;0;0;0;185;0
Resort Hotel;HB;Offline TA/TO;86;2;5;1;0;0;0;0;0;0;0;1;71;1
Resort Hotel;BB;Offline TA/TO;258;2;5;2;0;0;0;0;0;0;0;0;47.25;0
Resort Hotel;HB;Online TA;111;3;5;2;0;0;0;0;0;0;0;1;151;0
Resort Hotel;BB;Online TA;94;3;7;2;0;0;0;0;0;0;0;0;87.3;1
Resort Hotel;BB;Offline TA/TO;112;3;7;2;0;0;0;0;0;0;0;1;120.6;0
Resort Hotel;BB;Offline TA/TO;100;3;7;2;0;0;0;0;0;1;0;1;63.86;0
Resort Hotel;HB;Direct;33;3;7;2;0;0;0;0;0;5;0;1;157.1;0
Resort Hotel;HB;Offline TA/TO;97;3;7;2;0;0;0;0;0;0;0;2;91.37;0
Resort Hotel;BB;Direct;80;3;8;1;0;0;0;0;0;1;0;0;73;0
Resort Hotel;BB;Offline TA/TO;90;4;10;2;0;0;0;0;0;0;0;0;110.7;0
Resort Hotel;BB;Offline TA/TO;111;4;10;2;0;0;0;0;0;0;0;0;93.6;0
Resort Hotel;BB;Offline TA/TO;65;2;5;2;0;0;0;0;0;0;0;0;83.5;0
Resort Hotel;BB;Online TA;67;0;2;2;0;0;0;0;0;0;0;1;73.8;1
Resort Hotel;BB;Online TA;55;0;3;2;0;0;0;0;0;0;0;2;82;0
Resort Hotel;HB;Direct;21;0;3;2;1;0;0;0;0;0;0;1;185.5;0
Resort Hotel;BB;Direct;8;0;0;2;0;0;0;0;0;0;0;1;0;0
Resort Hotel;BB;Online TA;8;0;0;2;0;0;0;0;0;0;0;1;0;0
Resort Hotel;BB;Online TA;0;0;1;1;0;0;0;0;0;0;0;3;109.8;0
Resort Hotel;HB;Direct;0;0;1;3;0;0;0;0;0;0;0;0;195;0
Resort Hotel;BB;Online TA;0;0;1;1;0;0;0;0;0;0;0;3;109.8;0
Resort Hotel;BB;Online TA;8;0;4;3;2;0;0;0;0;2;0;1;193;0
Resort Hotel;BB;Online TA;66;0;4;2;0;0;0;0;0;0;0;2;97;0
Resort Hotel;HB;Offline TA/TO;88;0;4;3;0;0;0;0;0;0;0;1;150;0
Resort Hotel;BB;Direct;0;0;4;2;0;0;0;0;0;2;0;0;98;0
Resort Hotel;HB;Offline TA/TO;43;0;5;2;0;0;0;0;0;0;0;0;91.5;1
Resort Hotel;HB;Online TA;88;2;5;2;0;0;0;0;0;0;0;2;139;1
Resort Hotel;BB;Offline TA/TO;54;2;5;2;0;0;0;0;0;0;0;0;79.5;0
Resort Hotel;BB;Offline TA/TO;292;2;5;2;0;0;0;0;0;0;0;0;47.25;1
Resort Hotel;HB;Offline TA/TO;112;4;10;2;0;0;0;0;0;0;0;1;126.65;0
Resort Hotel;BB;Online TA;68;0;3;2;0;0;0;0;0;0;0;1;107;0
Resort Hotel;BB;Online TA;7;0;4;2;0;0;0;0;0;0;0;2;131;0
Resort Hotel;BB;Online TA;1;0;4;2;0;0;0;0;0;0;0;1;131;0
Resort Hotel;BB;Online TA;113;0;4;2;0;0;0;0;0;0;0;1;123;1
Resort Hotel;BB;Online TA;5;0;4;2;0;0;0;0;0;0;0;1;146;0
Resort Hotel;BB;Offline TA/TO;83;0;4;2;0;0;0;0;0;0;0;1;110.7;0
Resort Hotel;BB;Online TA;105;0;4;2;0;0;0;0;0;0;0;1;73.8;1
Resort Hotel;BB;Offline TA/TO;0;0;1;1;0;0;0;0;0;0;0;0;61;0
Resort Hotel;BB;Corporate;1;0;1;2;0;0;0;0;0;0;0;1;104.72;1
Resort Hotel;BB;Corporate;1;0;1;2;0;0;0;0;0;0;0;1;104.72;1
Resort Hotel;BB;Corporate;1;0;2;2;0;0;0;0;0;0;0;1;104.72;0
Resort Hotel;BB;Direct;102;1;4;2;0;0;0;0;0;0;0;1;66.42;1
Resort Hotel;BB;Direct;113;2;4;2;0;0;0;0;0;1;0;1;77.96;0
Resort Hotel;HB;Offline TA/TO;280;2;5;2;1;0;0;0;0;0;0;1;112;1
Resort Hotel;BB;Online TA;96;2;5;2;0;0;0;0;0;0;0;1;107;0
Resort Hotel;HB;Offline TA/TO;394;2;5;2;0;0;0;0;0;0;0;0;89.68;0
Resort Hotel;HB;Online TA;33;2;5;2;0;0;0;0;0;0;0;0;155;0
Resort Hotel;BB;Direct;82;2;6;3;0;0;0;0;0;0;0;1;112;0
Resort Hotel;BB;Online TA;100;2;7;3;0;0;0;0;0;1;0;3;130.1;0
Resort Hotel;BB;Online TA;100;2;7;2;0;0;0;0;0;0;0;2;100.1;0
Resort Hotel;BB;Online TA;17;0;1;2;2;0;0;0;0;0;0;3;123;0
Resort Hotel;BB;Direct;68;0;2;3;0;0;0;0;0;0;0;1;124;0
Resort Hotel;BB;Direct;12;0;2;2;2;0;0;0;0;2;0;0;146;0
Resort Hotel;BB;Direct;77;0;3;2;0;0;0;0;0;0;0;0;97;1
Resort Hotel;BB;Online TA;24;0;3;2;2;0;0;0;0;0;0;1;123;1
Resort Hotel;BB;Online TA;44;0;3;2;2;0;0;0;0;0;0;0;153;1
Resort Hotel;BB;Online TA;78;0;3;2;0;1;0;0;0;0;0;2;82;0
Resort Hotel;BB;Online TA;17;1;3;2;0;0;0;0;0;0;0;0;105.08;1
Resort Hotel;BB;Online TA;103;1;3;2;0;0;0;0;0;0;0;0;65.42;1
Resort Hotel;BB;Direct;16;1;3;1;0;0;0;0;0;0;0;1;98;0
Resort Hotel;BB;Online TA;14;2;3;2;0;0;0;0;0;0;0;1;75.46;0
Resort Hotel;BB;Offline TA/TO;77;2;3;2;0;0;0;0;0;0;0;0;65.5;0
Resort Hotel;BB;Offline TA/TO;90;2;5;2;0;0;0;0;0;0;0;0;90.95;0
Resort Hotel;BB;Offline TA/TO;90;2;5;2;0;0;0;0;0;0;0;0;93.6;0
Resort Hotel;BB;Offline TA/TO;90;2;5;2;0;0;0;0;0;0;0;0;119.25;0
Resort Hotel;HB;Offline TA/TO;366;2;5;2;0;0;0;0;0;0;0;0;134.73;0
Resort Hotel;HB;Online TA;249;2;5;2;0;0;0;0;0;0;0;1;112;0
Resort Hotel;HB;Online TA;69;2;6;2;0;0;0;0;0;0;0;2;118.13;1
Resort Hotel;BB;Direct;10;0;1;2;0;0;0;0;0;0;0;0;131;0
Resort Hotel;BB;Online TA;22;0;2;2;0;0;0;0;0;0;0;0;88.2;0
Resort Hotel;BB;Online TA;91;0;2;2;0;0;0;0;0;0;0;1;73.8;0
Resort Hotel;BB;Online TA;23;0;2;2;0;0;0;0;0;0;0;0;98;0
Resort Hotel;BB;Online TA;11;0;2;2;0;0;0;0;0;0;0;1;110.5;0
Resort Hotel;BB;Online TA;3;0;2;2;0;0;0;0;0;0;0;1;131;0
Resort Hotel;HB;Online TA;13;0;2;2;1;0;0;0;0;2;0;1;185;0
Resort Hotel;BB;Online TA;108;0;2;2;0;0;0;0;0;1;0;2;87.3;0
Resort Hotel;BB;Online TA;91;0;2;2;0;0;0;0;0;0;0;1;73.8;0
Resort Hotel;BB;Online TA;37;1;2;2;0;0;0;0;0;0;0;1;120;0
Resort Hotel;BB;Direct;21;1;2;2;0;0;0;0;0;0;0;1;98;0
Resort Hotel;BB;Online TA;106;1;2;2;0;0;0;0;0;0;0;2;96.3;0
Resort Hotel;FB;Direct;30;2;2;2;0;0;0;0;0;0;0;1;197;0
Resort Hotel;FB;Direct;30;2;2;2;0;0;0;0;0;0;0;1;197;0
Resort Hotel;BB;Online TA;51;2;3;2;0;0;0;0;0;0;0;0;123;1
Resort Hotel;BB;Online TA;79;2;3;2;0;0;0;0;0;0;0;2;82;0
Resort Hotel;HB;Direct;21;2;3;2;0;2;0;0;0;1;0;3;165;0
Resort Hotel;BB;Online TA;35;2;3;2;2;0;0;0;0;0;0;0;149.4;0
Resort Hotel;HB;Online TA;78;2;5;2;0;0;0;0;0;1;0;2;106.84;0
Resort Hotel;HB;Direct;31;2;5;2;0;0;0;0;0;1;0;1;161;0
Resort Hotel;HB;Online TA;78;2;5;2;0;0;0;0;0;1;0;2;134.43;0
Resort Hotel;HB;Online TA;78;2;5;2;0;0;0;0;0;1;0;2;144.43;0
Resort Hotel;HB;Offline TA/TO;44;2;5;1;0;0;0;0;0;2;0;0;152;0
Resort Hotel;HB;Online TA;34;2;5;2;1;0;0;0;0;0;0;3;125.54;0
Resort Hotel;FB;Offline TA/TO;87;2;5;2;1;1;0;0;0;0;0;2;133.83;0
Resort Hotel;BB;Direct;11;2;6;3;1;0;0;0;0;0;0;0;159.75;0
Resort Hotel;BB;Online TA;115;2;7;2;0;0;0;0;0;0;0;2;120.6;0
Resort Hotel;BB;Online TA;86;3;7;2;0;0;0;0;0;0;0;0;112.2;0
Resort Hotel;BB;Online TA;41;4;7;2;0;1;0;0;0;0;0;0;110.6;0
Resort Hotel;BB;Online TA;32;4;9;2;0;0;0;0;0;0;0;0;105.9;0
Resort Hotel;HB;Online TA;34;2;5;2;1;0;0;0;0;0;0;3;95.27;0
Resort Hotel;HB;Online TA;34;2;5;2;0;0;0;0;0;0;0;1;108.83;0
Resort Hotel;HB;Offline TA/TO;100;2;3;2;1;0;0;0;0;0;0;0;153.96;1
Resort Hotel;BB;Online TA;44;2;3;2;0;0;0;0;0;0;0;0;120.6;0
Resort Hotel;BB;Direct;304;2;4;2;0;1;0;0;0;1;0;1;90.67;0
Resort Hotel;BB;Online TA;36;2;4;2;0;0;0;0;0;0;0;0;126.67;1
Resort Hotel;HB;Offline TA/TO;117;2;4;3;0;0;0;0;0;0;0;1;144.4;0
Resort Hotel;BB;Online TA;70;2;4;2;0;0;0;0;0;0;0;2;99.5;0
Resort Hotel;BB;Direct;110;2;5;2;0;0;0;0;0;0;0;1;139.4;0
Resort Hotel;BB;Online TA;109;2;5;2;0;0;0;0;0;0;0;1;73.8;1
Resort Hotel;BB;Online TA;33;2;2;2;0;0;0;0;0;0;0;1;89.97;0
Resort Hotel;BB;Online TA;33;2;2;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;BB;Online TA;33;2;2;2;0;0;0;0;0;1;0;0;123;0
Resort Hotel;BB;Direct;0;0;1;1;0;0;0;0;0;0;0;0;123;0
Resort Hotel;HB;Online TA;0;0;1;2;0;0;0;0;0;1;0;1;144.9;0
Resort Hotel;BB;Direct;0;0;1;2;0;0;0;0;0;0;0;0;153;0
Resort Hotel;BB;Online TA;0;0;1;2;0;0;0;0;0;0;0;1;131;0
Resort Hotel;HB;Corporate;84;1;1;2;0;0;0;0;0;0;0;0;100;0
Resort Hotel;BB;Offline TA/TO;71;1;1;2;0;0;0;0;0;0;0;0;65.5;0
Resort Hotel;BB;Online TA;16;1;1;2;0;0;0;0;0;0;0;1;123;0
Resort Hotel;BB;Online TA;54;2;1;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;BB;Online TA;8;2;1;2;0;0;0;0;0;0;0;0;131;0
